arrondissement;personnes_agees;personnes_handicapees;exercice;forme_geographique;geo_point_2d
75014;5834;1427;2017;"{""coordinates"": [[[2.31414569967297, 48.8222905354331], [2.30131541848845, 48.8251257608331], [2.32466354462507, 48.8435180387147], [2.34203846359475, 48.8382969179241], [2.34149377223358, 48.8285681240667], [2.34441820366695, 48.8195940074234], [2.34390250474415, 48.8157670012883], [2.33189806063762, 48.8170109296333], [2.33246104245976, 48.8182471300745], [2.31414569967297, 48.8222905354331]]], ""type"": ""Polygon""}";48.8291473577, 2.32698552913
75004;1041;228;2017;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.35009126441938, 48.8619517498143], [2.36840857217282, 48.855737300041], [2.36901963711685, 48.8532214407367], [2.36431803561907, 48.8461671913211], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8542262543, 2.35736312527
75005;2288;274;2014;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.36254835037693, 48.8474708379884], [2.36595082088096, 48.8449086592693], [2.36138703382881, 48.8398227761763], [2.35171806895176, 48.836813651144], [2.33659270717766, 48.8396905371344], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.844407753, 2.350655453
75019;9800;2328;2017;"{""coordinates"": [[[2.37701535209984, 48.871921129272], [2.37034309079403, 48.8779090608478], [2.37021022590368, 48.8825821813927], [2.36467766640117, 48.8842913518655], [2.36980824223766, 48.8933764506353], [2.3702905140491, 48.9016535952765], [2.38514964293971, 48.9020077852065], [2.39265901404463, 48.8997933244929], [2.39762723366907, 48.8945781131531], [2.39884552718157, 48.8871090950641], [2.41069034663833, 48.8784751065079], [2.37701535209984, 48.871921129272]]], ""type"": ""Polygon""}";48.8868704923, 2.38465309568
75008;1022;118;2013;"{""coordinates"": [[[2.3271206970663, 48.8834854166088], [2.32576162546975, 48.8695461334678], [2.32077735158066, 48.8630750359323], [2.30155627217162, 48.8634752349574], [2.2951453922338, 48.8738619796685], [2.29834363574269, 48.8781328519077], [2.3271206970663, 48.8834854166088]]], ""type"": ""Polygon""}";48.8725623657, 2.31240969073
75002;685;147;2015;"{""coordinates"": [[[2.34783177108485, 48.8706244203262], [2.35411149265971, 48.8692752858867], [2.35084132055631, 48.8633444115649], [2.32787336218608, 48.8698610889494], [2.33992981056767, 48.8719373105105], [2.34783177108485, 48.8706244203262]]], ""type"": ""Polygon""}";48.8683234515, 2.3432977179
75002;781;141;2014;"{""coordinates"": [[[2.34783177108485, 48.8706244203262], [2.35411149265971, 48.8692752858867], [2.35084132055631, 48.8633444115649], [2.32787336218608, 48.8698610889494], [2.33992981056767, 48.8719373105105], [2.34783177108485, 48.8706244203262]]], ""type"": ""Polygon""}";48.8683234515, 2.3432977179
75010;3370;772;2016;"{""coordinates"": [[[2.36467766640117, 48.8842913518655], [2.37021022590368, 48.8825821813927], [2.37034309079403, 48.8779090608478], [2.37701535209984, 48.871921129272], [2.36385133901257, 48.8674316382724], [2.34783177108485, 48.8706244203262], [2.34955084012322, 48.8836201679033], [2.36467766640117, 48.8842913518655]]], ""type"": ""Polygon""}";48.8759734307, 2.36068494701
75014;7162;1180;2013;"{""coordinates"": [[[2.31414569967297, 48.8222905354331], [2.30131541848845, 48.8251257608331], [2.32466354462507, 48.8435180387147], [2.34203846359475, 48.8382969179241], [2.34149377223358, 48.8285681240667], [2.34441820366695, 48.8195940074234], [2.34390250474415, 48.8157670012883], [2.33189806063762, 48.8170109296333], [2.33246104245976, 48.8182471300745], [2.31414569967297, 48.8222905354331]]], ""type"": ""Polygon""}";48.8291473577, 2.32698552913
75004;1226;199;2014;"{""coordinates"": [[[2.34455922608557, 48.8539893055512], [2.35009126441938, 48.8619517498143], [2.36840857217282, 48.855737300041], [2.36901963711685, 48.8532214407367], [2.36431803561907, 48.8461671913211], [2.34455922608557, 48.8539893055512]]], ""type"": ""Polygon""}";48.8542262543, 2.35736312527
